baseline & 1.0000 & 1.0000 & 1.0000 & 0.1928 & 0.2470 & 0.2555 & 1.00 & 1.00 & 1.00 & 0 & 0 & 0 & \\ 
rle & 2.0020 & 1.4493 & 1.2900 & 0.4465 & 0.3839 & 0.3667 & 1.27 & 1.17 & 1.24 & 0 & 0 & 0 & \\ 
huffman & 1.3077 & 1.1605 & 0.9478 & 0.4509 & 0.4876 & 0.4956 & 2.00 & 1.97 & 2.32 & 17 & 388 & 147111 & \\ 
deaf & 0.6212 & 0.6162 & 0.4789 & 0.1231 & 0.1564 & 0.1261 & 1.00 & 1.00 & 1.00 & 115 & 231 & 462 & \\ 
deaf_rle & 1.0401 & 0.7927 & 0.6034 & 0.2787 & 0.2170 & 0.1914 & 1.42 & 1.14 & 1.34 & 107 & 215 & 393 & \\ 
